,Fitness,Iteration,Mutation Rate,Population Size,Time,max_iters
0,25.0,0,0.3,300,0.005833300005178899,4096
1,26.0,1,0.3,300,0.03106619999743998,4096
2,26.0,2,0.3,300,0.06443009999929927,4096
3,26.0,3,0.3,300,0.09795650000160094,4096
4,28.0,4,0.3,300,0.12117690000741277,4096
5,29.0,5,0.3,300,0.150880800007144,4096
6,29.0,6,0.3,300,0.203953400006867,4096
7,29.0,7,0.3,300,0.22810320000280626,4096
8,29.0,8,0.3,300,0.24970739999844227,4096
9,29.0,9,0.3,300,0.28097900000284426,4096
10,29.0,10,0.3,300,0.30899370000406634,4096
11,29.0,11,0.3,300,0.33388120000017807,4096
12,29.0,12,0.3,300,0.35675130000163335,4096
13,29.0,13,0.3,300,0.3793825000029756,4096
14,29.0,14,0.3,300,0.4045387999940431,4096
15,29.0,15,0.3,300,0.442893900006311,4096
16,29.0,16,0.3,300,0.48877189999620896,4096
17,29.0,17,0.3,300,0.5255584999977145,4096
18,29.0,18,0.3,300,0.5508370000025025,4096
19,29.0,19,0.3,300,0.5817221000033896,4096
20,29.0,20,0.3,300,0.6087353000039002,4096
21,29.0,21,0.3,300,0.6434162999939872,4096
22,29.0,22,0.3,300,0.6720940999948652,4096
23,29.0,23,0.3,300,0.70418719999725,4096
24,29.0,24,0.3,300,0.7552035999979125,4096
25,29.0,25,0.3,300,0.7933733999961987,4096
26,29.0,26,0.3,300,0.8223787000024458,4096
27,29.0,27,0.3,300,0.8490949999977602,4096
28,29.0,28,0.3,300,0.8798485000006622,4096
29,29.0,29,0.3,300,0.9174235999962548,4096
30,29.0,30,0.3,300,0.9455585999967298,4096
31,29.0,31,0.3,300,0.9735624000022653,4096
32,29.0,32,0.3,300,1.007202699998743,4096
33,29.0,33,0.3,300,1.0397945000004256,4096
34,29.0,34,0.3,300,1.0653111999999965,4096
35,29.0,35,0.3,300,1.089921199993114,4096
36,29.0,36,0.3,300,1.113440700006322,4096
37,29.0,37,0.3,300,1.1357602000061888,4096
38,29.0,38,0.3,300,1.157752300001448,4096
39,29.0,39,0.3,300,1.1989914000005228,4096
40,29.0,40,0.3,300,1.2331424000003608,4096
41,29.0,41,0.3,300,1.2622334000043338,4096
42,29.0,42,0.3,300,1.2894661000027554,4096
43,29.0,43,0.3,300,1.3287520000012591,4096
44,29.0,44,0.3,300,1.3612983000057284,4096
45,29.0,45,0.3,300,1.3889271999942139,4096
46,29.0,46,0.3,300,1.4111751000018558,4096
47,29.0,47,0.3,300,1.434034399993834,4096
48,29.0,48,0.3,300,1.45820090000052,4096
49,29.0,49,0.3,300,1.4818101999990176,4096
50,29.0,50,0.3,300,1.505815700002131,4096
51,29.0,51,0.3,300,1.5282360999990487,4096
52,29.0,52,0.3,300,1.550246300001163,4096
53,29.0,53,0.3,300,1.5727134000044316,4096
54,29.0,54,0.3,300,1.5995320999936666,4096
55,29.0,55,0.3,300,1.6277109000075143,4096
56,29.0,56,0.3,300,1.6545448999968357,4096
57,29.0,57,0.3,300,1.693348300002981,4096
58,29.0,58,0.3,300,1.7274718999979086,4096
59,29.0,59,0.3,300,1.7590745000052266,4096
60,29.0,60,0.3,300,1.792036900005769,4096
61,29.0,61,0.3,300,1.8274701000045752,4096
62,29.0,62,0.3,300,1.8784452999971109,4096
63,29.0,63,0.3,300,1.9156720000028145,4096
64,29.0,64,0.3,300,1.9600057000061497,4096
65,29.0,65,0.3,300,2.0358333000040147,4096
66,29.0,66,0.3,300,2.1229644999984885,4096
67,29.0,67,0.3,300,2.1885047999967355,4096
68,29.0,68,0.3,300,2.2363721000001533,4096
69,29.0,69,0.3,300,2.2751245999970706,4096
70,29.0,70,0.3,300,2.3119467999931658,4096
71,29.0,71,0.3,300,2.345713500006241,4096
72,29.0,72,0.3,300,2.369839699997101,4096
73,29.0,73,0.3,300,2.3937814999953844,4096
74,29.0,74,0.3,300,2.416137299995171,4096
75,29.0,75,0.3,300,2.440956599995843,4096
76,29.0,76,0.3,300,2.4662208999943687,4096
77,29.0,77,0.3,300,2.4948185999965062,4096
78,29.0,78,0.3,300,2.519492100007483,4096
79,29.0,79,0.3,300,2.541855100003886,4096
80,29.0,80,0.3,300,2.5639392000011867,4096
81,29.0,81,0.3,300,2.585958700001356,4096
82,29.0,82,0.3,300,2.6108838000072865,4096
83,29.0,83,0.3,300,2.63338329999533,4096
84,29.0,84,0.3,300,2.6569038000016008,4096
85,29.0,85,0.3,300,2.6789700999943307,4096
86,29.0,86,0.3,300,2.70306349999737,4096
87,29.0,87,0.3,300,2.7308018000039738,4096
88,29.0,88,0.3,300,2.7536952999944333,4096
89,29.0,89,0.3,300,2.775750300002983,4096
90,29.0,90,0.3,300,2.798933700003545,4096
91,29.0,91,0.3,300,2.8216560000000754,4096
92,29.0,92,0.3,300,2.846656699999585,4096
93,29.0,93,0.3,300,2.873198000001139,4096
94,29.0,94,0.3,300,2.8987138999946183,4096
95,29.0,95,0.3,300,2.9215096999978414,4096
96,29.0,96,0.3,300,2.946473599993624,4096
97,29.0,97,0.3,300,2.9750428999977885,4096
98,29.0,98,0.3,300,2.999820400000317,4096
99,29.0,99,0.3,300,3.0355181000049924,4096
100,29.0,100,0.3,300,3.078171700006351,4096
101,29.0,101,0.3,300,3.124531900000875,4096
102,29.0,102,0.3,300,3.150500899995677,4096
103,29.0,103,0.3,300,3.1729647000029217,4096
104,29.0,104,0.3,300,3.1951731000008294,4096
105,29.0,105,0.3,300,3.2172848000045633,4096
106,29.0,106,0.3,300,3.240182800000184,4096
107,29.0,107,0.3,300,3.2649533999938285,4096
108,29.0,108,0.3,300,3.288021900007152,4096
109,29.0,109,0.3,300,3.310717600004864,4096
110,29.0,110,0.3,300,3.3372025999997277,4096
111,29.0,111,0.3,300,3.3756105000065872,4096
112,29.0,112,0.3,300,3.418676300003426,4096
113,29.0,113,0.3,300,3.456182900001295,4096
114,29.0,114,0.3,300,3.4928377000032924,4096
115,29.0,115,0.3,300,3.5335311999951955,4096
116,29.0,116,0.3,300,3.5647778999991715,4096
117,29.0,117,0.3,300,3.6009007999964524,4096
118,29.0,118,0.3,300,3.633993700001156,4096
119,29.0,119,0.3,300,3.6737874999962514,4096
120,29.0,120,0.3,300,3.7017162999982247,4096
121,29.0,121,0.3,300,3.7248091000074055,4096
122,29.0,122,0.3,300,3.748621100006858,4096
123,29.0,123,0.3,300,3.771663499996066,4096
124,29.0,124,0.3,300,3.7954316999966977,4096
125,29.0,125,0.3,300,3.818350100002135,4096
126,29.0,126,0.3,300,3.8417827999946894,4096
127,29.0,127,0.3,300,3.8674726000026567,4096
128,29.0,128,0.3,300,3.8950047999969684,4096
129,29.0,129,0.3,300,3.9301736000052188,4096
130,29.0,130,0.3,300,3.9528386000019964,4096
131,29.0,131,0.3,300,3.9759691000072053,4096
132,29.0,132,0.3,300,4.00017569999909,4096
133,29.0,133,0.3,300,4.023488399994676,4096
134,29.0,134,0.3,300,4.0467580999975326,4096
135,29.0,135,0.3,300,4.070249600001262,4096
136,29.0,136,0.3,300,4.098374599998351,4096
137,29.0,137,0.3,300,4.129418500000611,4096
138,29.0,138,0.3,300,4.152021100002457,4096
139,29.0,139,0.3,300,4.178467799996724,4096
140,29.0,140,0.3,300,4.202722200003336,4096
141,29.0,141,0.3,300,4.224545999997645,4096
142,29.0,142,0.3,300,4.246788499993272,4096
143,29.0,143,0.3,300,4.273657800004003,4096
144,29.0,144,0.3,300,4.297038100005011,4096
145,29.0,145,0.3,300,4.320246600007522,4096
146,29.0,146,0.3,300,4.3432417000003625,4096
147,29.0,147,0.3,300,4.367193300000508,4096
148,29.0,148,0.3,300,4.393115300001227,4096
149,29.0,149,0.3,300,4.415367499997956,4096
150,29.0,150,0.3,300,4.43805440000142,4096
151,29.0,151,0.3,300,4.459938500003773,4096
152,29.0,152,0.3,300,4.482354099993245,4096
153,29.0,153,0.3,300,4.50696600000083,4096
154,29.0,154,0.3,300,4.531246500002453,4096
155,29.0,155,0.3,300,4.553220000001602,4096
156,29.0,156,0.3,300,4.57549430000654,4096
157,29.0,157,0.3,300,4.597766499995487,4096
158,29.0,158,0.3,300,4.620332499995129,4096
159,29.0,159,0.3,300,4.642729099999997,4096
160,29.0,160,0.3,300,4.66534330000286,4096
161,29.0,161,0.3,300,4.699255400002585,4096
162,29.0,162,0.3,300,4.736369999998715,4096
163,29.0,163,0.3,300,4.775985300002503,4096
164,29.0,164,0.3,300,4.802663399997982,4096
165,29.0,165,0.3,300,4.831329599997844,4096
166,29.0,166,0.3,300,4.8556737000035355,4096
167,29.0,167,0.3,300,4.891066399999545,4096
168,29.0,168,0.3,300,4.925969200005056,4096
169,29.0,169,0.3,300,4.951072800002294,4096
170,29.0,170,0.3,300,4.975268900001538,4096
171,29.0,171,0.3,300,4.998065099993255,4096
172,29.0,172,0.3,300,5.023045299996738,4096
173,29.0,173,0.3,300,5.044647400005488,4096
174,29.0,174,0.3,300,5.068612300005043,4096
175,29.0,175,0.3,300,5.094791800001985,4096
176,29.0,176,0.3,300,5.1170252000010805,4096
177,29.0,177,0.3,300,5.1386851999996,4096
178,29.0,178,0.3,300,5.1609366000047885,4096
179,29.0,179,0.3,300,5.183333199995104,4096
180,29.0,180,0.3,300,5.2092210999981035,4096
181,29.0,181,0.3,300,5.234169699993799,4096
182,29.0,182,0.3,300,5.26024299999699,4096
183,29.0,183,0.3,300,5.285203999999794,4096
184,29.0,184,0.3,300,5.308997900006943,4096
185,29.0,185,0.3,300,5.331910799999605,4096
186,29.0,186,0.3,300,5.3537462999956915,4096
187,29.0,187,0.3,300,5.381999399993219,4096
188,29.0,188,0.3,300,5.405731699996977,4096
189,29.0,189,0.3,300,5.429496199998539,4096
190,29.0,190,0.3,300,5.454562700004317,4096
191,29.0,191,0.3,300,5.4796277999994345,4096
192,29.0,192,0.3,300,5.501422000001185,4096
193,29.0,193,0.3,300,5.52629049999814,4096
194,29.0,194,0.3,300,5.550238099996932,4096
195,29.0,195,0.3,300,5.57708360000106,4096
196,29.0,196,0.3,300,5.599185600003693,4096
197,29.0,197,0.3,300,5.622208700006013,4096
198,29.0,198,0.3,300,5.647062500007451,4096
199,29.0,199,0.3,300,5.6709479999990435,4096
200,29.0,200,0.3,300,5.694559499999741,4096
201,29.0,201,0.3,300,5.716809399993508,4096
202,29.0,202,0.3,300,5.739059200001066,4096
203,29.0,203,0.3,300,5.761341300007189,4096
204,29.0,204,0.3,300,5.7849524000048405,4096
205,29.0,205,0.3,300,5.807091599999694,4096
206,29.0,206,0.3,300,5.829868700006045,4096
207,29.0,207,0.3,300,5.85172400000738,4096
208,29.0,208,0.3,300,5.874181599996518,4096
209,29.0,209,0.3,300,5.898526100005256,4096
210,29.0,210,0.3,300,5.921720300000743,4096
211,29.0,211,0.3,300,5.945988599996781,4096
212,29.0,212,0.3,300,5.972912900004303,4096
213,29.0,213,0.3,300,6.004939200007357,4096
214,29.0,214,0.3,300,6.033309399994323,4096
215,29.0,215,0.3,300,6.061237999994773,4096
216,29.0,216,0.3,300,6.091409100001329,4096
217,29.0,217,0.3,300,6.121873900003266,4096
218,29.0,218,0.3,300,6.156386100003147,4096
219,29.0,219,0.3,300,6.191511900004116,4096
220,29.0,220,0.3,300,6.227928000007523,4096
221,29.0,221,0.3,300,6.254069999995409,4096
222,29.0,222,0.3,300,6.279937800005428,4096
223,29.0,223,0.3,300,6.302697499995702,4096
224,29.0,224,0.3,300,6.3259098999988055,4096
225,29.0,225,0.3,300,6.348220800005947,4096
226,29.0,226,0.3,300,6.373825600006967,4096
227,29.0,227,0.3,300,6.398170000000391,4096
228,29.0,228,0.3,300,6.425253299996257,4096
229,29.0,229,0.3,300,6.4472052000055555,4096
230,29.0,230,0.3,300,6.469944900003611,4096
231,29.0,231,0.3,300,6.501777700003004,4096
232,29.0,232,0.3,300,6.524010099994484,4096
233,29.0,233,0.3,300,6.548239399999147,4096
234,29.0,234,0.3,300,6.571301200005109,4096
235,29.0,235,0.3,300,6.593526700002258,4096
236,29.0,236,0.3,300,6.6152849000063725,4096
237,29.0,237,0.3,300,6.6415260000067065,4096
238,29.0,238,0.3,300,6.6644474000058835,4096
239,29.0,239,0.3,300,6.687802000000374,4096
240,29.0,240,0.3,300,6.7130866999941645,4096
241,29.0,241,0.3,300,6.739689199996064,4096
242,29.0,242,0.3,300,6.763659400006873,4096
243,29.0,243,0.3,300,6.786975700000767,4096
244,29.0,244,0.3,300,6.810056000002078,4096
245,29.0,245,0.3,300,6.832609100005357,4096
246,29.0,246,0.3,300,6.854825600006734,4096
247,29.0,247,0.3,300,6.877174499997636,4096
248,29.0,248,0.3,300,6.900681400002213,4096
249,29.0,249,0.3,300,6.922967200007406,4096
250,29.0,250,0.3,300,6.945060900005046,4096
251,29.0,251,0.3,300,6.972229299994069,4096
252,29.0,252,0.3,300,6.994957200004137,4096
253,29.0,253,0.3,300,7.021641400002409,4096
254,29.0,254,0.3,300,7.04633310000645,4096
255,29.0,255,0.3,300,7.071626000004471,4096
256,29.0,256,0.3,300,7.102286800000002,4096
257,29.0,257,0.3,300,7.150970100003178,4096
258,29.0,258,0.3,300,7.1732757999998285,4096
259,29.0,259,0.3,300,7.195845099995495,4096
260,29.0,260,0.3,300,7.218037500002538,4096
261,29.0,261,0.3,300,7.249234400005662,4096
262,29.0,262,0.3,300,7.275856599997496,4096
263,29.0,263,0.3,300,7.310500999999931,4096
264,29.0,264,0.3,300,7.342306399994413,4096
265,29.0,265,0.3,300,7.369815400001244,4096
266,29.0,266,0.3,300,7.404451599999447,4096
267,29.0,267,0.3,300,7.433826699998463,4096
268,29.0,268,0.3,300,7.463889699996798,4096
269,29.0,269,0.3,300,7.489080600003945,4096
270,29.0,270,0.3,300,7.520061799994437,4096
271,29.0,271,0.3,300,7.541901200005668,4096
272,29.0,272,0.3,300,7.565246600002865,4096
273,29.0,273,0.3,300,7.588722600004985,4096
274,29.0,274,0.3,300,7.612650600000052,4096
275,29.0,275,0.3,300,7.636412699997891,4096
276,29.0,276,0.3,300,7.663780799994129,4096
277,29.0,277,0.3,300,7.686333300007391,4096
278,29.0,278,0.3,300,7.708416900000884,4096
279,29.0,279,0.3,300,7.730677200001082,4096
280,29.0,280,0.3,300,7.753594599998905,4096
281,29.0,281,0.3,300,7.7777131000038935,4096
282,29.0,282,0.3,300,7.803996799993911,4096
283,29.0,283,0.3,300,7.8275840999995125,4096
284,29.0,284,0.3,300,7.852784200003953,4096
285,29.0,285,0.3,300,7.878029500003322,4096
286,29.0,286,0.3,300,7.904277800000273,4096
287,29.0,287,0.3,300,7.930921000006492,4096
288,29.0,288,0.3,300,7.9554245000035735,4096
289,29.0,289,0.3,300,7.977605899999617,4096
290,29.0,290,0.3,300,7.999576100002741,4096
291,29.0,291,0.3,300,8.02172220000648,4096
292,29.0,292,0.3,300,8.043594699993264,4096
293,29.0,293,0.3,300,8.068243600006099,4096
294,29.0,294,0.3,300,8.093834300001618,4096
295,29.0,295,0.3,300,8.116908600000897,4096
296,29.0,296,0.3,300,8.139112799995928,4096
297,29.0,297,0.3,300,8.163573700003326,4096
298,29.0,298,0.3,300,8.186988000001293,4096
299,29.0,299,0.3,300,8.209084000001894,4096
300,29.0,300,0.3,300,8.231632900002296,4096
301,29.0,301,0.3,300,8.253834500006633,4096
302,29.0,302,0.3,300,8.28051919999416,4096
303,29.0,303,0.3,300,8.308082799994736,4096
304,29.0,304,0.3,300,8.331413699997938,4096
305,29.0,305,0.3,300,8.353107300004922,4096
306,29.0,306,0.3,300,8.375338300000294,4096
307,29.0,307,0.3,300,8.39718119999452,4096
308,29.0,308,0.3,300,8.42094100000395,4096
309,29.0,309,0.3,300,8.443228400006774,4096
310,29.0,310,0.3,300,8.46557319999556,4096
311,29.0,311,0.3,300,8.487587399999029,4096
312,29.0,312,0.3,300,8.509686999997939,4096
313,29.0,313,0.3,300,8.54925739999453,4096
314,29.0,314,0.3,300,8.586795700000948,4096
315,29.0,315,0.3,300,8.62790789999417,4096
316,29.0,316,0.3,300,8.661411699999007,4096
317,29.0,317,0.3,300,8.687499699997716,4096
318,29.0,318,0.3,300,8.721137700005784,4096
319,29.0,319,0.3,300,8.752380399993854,4096
320,29.0,320,0.3,300,8.789219400001457,4096
321,29.0,321,0.3,300,8.821542399993632,4096
322,29.0,322,0.3,300,8.84368999999424,4096
323,29.0,323,0.3,300,8.870607200005907,4096
324,29.0,324,0.3,300,8.892828299998655,4096
325,29.0,325,0.3,300,8.914795499993488,4096
326,29.0,326,0.3,300,8.940379099993152,4096
327,29.0,327,0.3,300,8.963701200002106,4096
328,29.0,328,0.3,300,8.990104199998314,4096
329,29.0,329,0.3,300,9.013028899993515,4096
330,29.0,330,0.3,300,9.036112899993896,4096
331,29.0,331,0.3,300,9.058946999997715,4096
332,29.0,332,0.3,300,9.087740400005714,4096
333,29.0,333,0.3,300,9.110616299993126,4096
334,29.0,334,0.3,300,9.132940099996631,4096
335,29.0,335,0.3,300,9.155544499997632,4096
336,29.0,336,0.3,300,9.17834220000077,4096
337,29.0,337,0.3,300,9.201096699995105,4096
338,29.0,338,0.3,300,9.225042699996266,4096
339,29.0,339,0.3,300,9.247010499995667,4096
340,29.0,340,0.3,300,9.274813399999402,4096
341,29.0,341,0.3,300,9.298603000002913,4096
342,29.0,342,0.3,300,9.321257400006289,4096
343,29.0,343,0.3,300,9.343391600006726,4096
344,29.0,344,0.3,300,9.36558860000514,4096
345,29.0,345,0.3,300,9.393457099999068,4096
346,29.0,346,0.3,300,9.420758399995975,4096
347,29.0,347,0.3,300,9.442702400003327,4096
348,29.0,348,0.3,300,9.466413899994222,4096
349,29.0,349,0.3,300,9.493679999999586,4096
350,29.0,350,0.3,300,9.52005609999469,4096
351,29.0,351,0.3,300,9.542810900005861,4096
352,29.0,352,0.3,300,9.564871499998844,4096
353,29.0,353,0.3,300,9.586957999999868,4096
354,29.0,354,0.3,300,9.609138900006656,4096
355,29.0,355,0.3,300,9.635197499999776,4096
356,29.0,356,0.3,300,9.65775399999984,4096
357,29.0,357,0.3,300,9.681543200000306,4096
358,29.0,358,0.3,300,9.704124800002319,4096
359,29.0,359,0.3,300,9.73290800000541,4096
360,29.0,360,0.3,300,9.756221500007086,4096
361,29.0,361,0.3,300,9.78055320000567,4096
362,29.0,362,0.3,300,9.806015900001512,4096
363,29.0,363,0.3,300,9.833354000002146,4096
364,29.0,364,0.3,300,9.858186500001466,4096
365,29.0,365,0.3,300,9.890763799994602,4096
366,29.0,366,0.3,300,9.925180999998702,4096
367,29.0,367,0.3,300,9.961820900003659,4096
368,29.0,368,0.3,300,10.003557000003639,4096
369,29.0,369,0.3,300,10.032933099995716,4096
370,29.0,370,0.3,300,10.06420550000621,4096
371,29.0,371,0.3,300,10.107302200005506,4096
372,29.0,372,0.3,300,10.136733199993614,4096
373,29.0,373,0.3,300,10.163676500000292,4096
374,29.0,374,0.3,300,10.188447499996983,4096
375,29.0,375,0.3,300,10.213957700005267,4096
376,29.0,376,0.3,300,10.239466600003652,4096
377,29.0,377,0.3,300,10.264630499994382,4096
378,29.0,378,0.3,300,10.286513700004434,4096
379,29.0,379,0.3,300,10.309559700006503,4096
380,29.0,380,0.3,300,10.333279700003914,4096
381,29.0,381,0.3,300,10.35632269999769,4096
382,29.0,382,0.3,300,10.38153460000467,4096
383,29.0,383,0.3,300,10.403600399993593,4096
384,29.0,384,0.3,300,10.428066899999976,4096
385,29.0,385,0.3,300,10.45067599999311,4096
386,29.0,386,0.3,300,10.473856700002216,4096
387,29.0,387,0.3,300,10.498155699999188,4096
388,29.0,388,0.3,300,10.51999080000678,4096
389,29.0,389,0.3,300,10.543264299994917,4096
390,29.0,390,0.3,300,10.56808810000075,4096
391,29.0,391,0.3,300,10.590509799993015,4096
392,29.0,392,0.3,300,10.614960299993982,4096
393,29.0,393,0.3,300,10.637518899995484,4096
394,29.0,394,0.3,300,10.661646599997766,4096
395,29.0,395,0.3,300,10.684286200004863,4096
396,29.0,396,0.3,300,10.707686399997328,4096
397,29.0,397,0.3,300,10.729435800007195,4096
398,29.0,398,0.3,300,10.751571899992996,4096
399,29.0,399,0.3,300,10.775351899996167,4096
400,29.0,400,0.3,300,10.801165099997888,4096
401,29.0,401,0.3,300,10.824299300002167,4096
402,29.0,402,0.3,300,10.85012380000262,4096
403,29.0,403,0.3,300,10.872861099996953,4096
404,29.0,404,0.3,300,10.89585650000663,4096
405,29.0,405,0.3,300,10.92074169999978,4096
406,29.0,406,0.3,300,10.944707899994683,4096
407,29.0,407,0.3,300,10.967386400006944,4096
408,29.0,408,0.3,300,10.99067169999762,4096
