,Fitness,Iteration,Restarts,Time,current_restart,max_iters
0,57.0,0,10,0.00025599999999999993,0,16384
1,57.0,1,10,0.0013209,0,16384
2,57.0,2,10,0.0209142,0,16384
3,57.0,3,10,0.031210800000000004,0,16384
4,57.0,4,10,0.031258100000000004,0,16384
5,57.0,5,10,0.0417611,0,16384
6,58.0,6,10,0.0418228,0,16384
7,59.0,7,10,0.0418702,0,16384
8,60.0,8,10,0.0419116,0,16384
9,60.0,9,10,0.0507825,0,16384
10,61.0,10,10,0.050865,0,16384
11,61.0,11,10,0.0509468,0,16384
12,61.0,12,10,0.0510236,0,16384
13,61.0,13,10,0.051077700000000004,0,16384
14,61.0,14,10,0.0511362,0,16384
15,61.0,15,10,0.051201,0,16384
16,62.0,16,10,0.05126,0,16384
17,63.0,17,10,0.0628207,0,16384
18,63.0,18,10,0.06288089999999999,0,16384
19,63.0,19,10,0.0629696,0,16384
20,64.0,20,10,0.0630249,0,16384
21,64.0,21,10,0.0631037,0,16384
22,64.0,22,10,0.06315449999999999,0,16384
23,64.0,23,10,0.0631973,0,16384
24,65.0,24,10,0.0632403,0,16384
25,66.0,25,10,0.0632943,0,16384
26,66.0,26,10,0.06334899999999999,0,16384
27,66.0,27,10,0.06339209999999999,0,16384
28,66.0,28,10,0.06343489999999999,0,16384
29,67.0,29,10,0.06348809999999999,0,16384
30,67.0,30,10,0.0635424,0,16384
31,67.0,31,10,0.0635765,0,16384
32,68.0,32,10,0.06361359999999999,0,16384
33,69.0,33,10,0.0740332,0,16384
34,70.0,34,10,0.0740904,0,16384
35,71.0,35,10,0.0741348,0,16384
36,71.0,36,10,0.0741775,0,16384
37,71.0,37,10,0.0742105,0,16384
38,72.0,38,10,0.07424309999999999,0,16384
39,73.0,39,10,0.0742827,0,16384
40,73.0,40,10,0.0743225,0,16384
41,73.0,41,10,0.07435459999999999,0,16384
42,73.0,42,10,0.0743866,0,16384
43,73.0,43,10,0.0744184,0,16384
44,74.0,44,10,0.0744806,0,16384
45,74.0,45,10,0.07455179999999999,0,16384
46,74.0,46,10,0.0745979,0,16384
47,75.0,47,10,0.0746439,0,16384
48,76.0,48,10,0.0747002,0,16384
49,76.0,49,10,0.0747564,0,16384
50,77.0,50,10,0.074802,0,16384
51,77.0,51,10,0.074859,0,16384
52,77.0,52,10,0.0749058,0,16384
53,77.0,53,10,0.0749589,0,16384
54,77.0,54,10,0.07499539999999999,0,16384
55,77.0,55,10,0.07502859999999999,0,16384
56,77.0,56,10,0.07506189999999999,0,16384
57,77.0,57,10,0.07509429999999999,0,16384
58,77.0,58,10,0.0751263,0,16384
59,77.0,59,10,0.0751601,0,16384
60,78.0,60,10,0.0751925,0,16384
61,78.0,61,10,0.0752337,0,16384
62,78.0,62,10,0.0752665,0,16384
63,78.0,63,10,0.0752988,0,16384
64,78.0,64,10,0.0753311,0,16384
65,78.0,65,10,0.08756059999999999,0,16384
66,78.0,66,10,0.0876208,0,16384
67,79.0,67,10,0.0876689,0,16384
68,79.0,68,10,0.087727,0,16384
69,79.0,69,10,0.0877709,0,16384
70,79.0,70,10,0.0878132,0,16384
71,79.0,71,10,0.0878538,0,16384
72,79.0,72,10,0.08789369999999999,0,16384
73,79.0,73,10,0.0879345,0,16384
74,80.0,74,10,0.0879735,0,16384
75,80.0,75,10,0.0880382,0,16384
76,80.0,76,10,0.0880952,0,16384
77,81.0,77,10,0.08816969999999999,0,16384
78,81.0,78,10,0.08822369999999999,0,16384
79,82.0,79,10,0.08825999999999999,0,16384
80,82.0,80,10,0.0883035,0,16384
81,82.0,81,10,0.0883385,0,16384
82,82.0,82,10,0.0883726,0,16384
83,82.0,83,10,0.0884503,0,16384
84,83.0,84,10,0.0885913,0,16384
85,83.0,85,10,0.08871899999999999,0,16384
86,83.0,86,10,0.0888216,0,16384
87,83.0,87,10,0.08891399999999999,0,16384
88,83.0,88,10,0.0890132,0,16384
89,83.0,89,10,0.08911119999999999,0,16384
90,84.0,90,10,0.0892076,0,16384
91,85.0,91,10,0.089323,0,16384
92,86.0,92,10,0.08944669999999999,0,16384
93,86.0,93,10,0.0895661,0,16384
94,87.0,94,10,0.0896608,0,16384
95,87.0,95,10,0.0897761,0,16384
96,87.0,96,10,0.08987339999999999,0,16384
97,87.0,97,10,0.0899715,0,16384
98,87.0,98,10,0.0900677,0,16384
99,87.0,99,10,0.0901666,0,16384
100,87.0,100,10,0.090264,0,16384
101,87.0,101,10,0.0903697,0,16384
102,87.0,102,10,0.09048529999999999,0,16384
103,87.0,103,10,0.09056489999999999,0,16384
104,87.0,104,10,0.09063439999999999,0,16384
105,87.0,105,10,0.0906984,0,16384
106,87.0,106,10,0.0907605,0,16384
107,87.0,107,10,0.0908353,0,16384
108,87.0,108,10,0.0908982,0,16384
109,88.0,109,10,0.0909642,0,16384
110,88.0,110,10,0.0910647,0,16384
111,88.0,111,10,0.0911302,0,16384
112,88.0,112,10,0.091192,0,16384
113,88.0,113,10,0.0912533,0,16384
114,88.0,114,10,0.0913329,0,16384
115,88.0,115,10,0.0914009,0,16384
116,88.0,116,10,0.09146349999999999,0,16384
117,88.0,117,10,0.09152769999999999,0,16384
118,88.0,118,10,0.0916089,0,16384
119,88.0,119,10,0.09167349999999999,0,16384
120,88.0,120,10,0.09173579999999999,0,16384
121,88.0,121,10,0.09179939999999999,0,16384
122,88.0,122,10,0.09188039999999999,0,16384
123,88.0,123,10,0.091945,0,16384
124,88.0,124,10,0.0920068,0,16384
125,88.0,125,10,0.0920679,0,16384
126,88.0,126,10,0.0921485,0,16384
127,88.0,127,10,0.0922094,0,16384
128,88.0,128,10,0.0922489,0,16384
129,88.0,129,10,0.10232959999999999,0,16384
130,88.0,130,10,0.1028775,0,16384
131,88.0,131,10,0.1032312,0,16384
132,88.0,132,10,0.1033828,0,16384
133,88.0,133,10,0.10350359999999999,0,16384
134,88.0,134,10,0.10361089999999999,0,16384
135,88.0,135,10,0.10374119999999999,0,16384
136,89.0,136,10,0.10386269999999999,0,16384
137,89.0,137,10,0.1039557,0,16384
138,89.0,138,10,0.1040647,0,16384
139,90.0,139,10,0.10416719999999999,0,16384
140,90.0,140,10,0.1044063,0,16384
141,90.0,141,10,0.1046835,0,16384
142,90.0,142,10,0.10489899999999999,0,16384
143,90.0,143,10,0.10501289999999999,0,16384
144,90.0,144,10,0.1051134,0,16384
145,90.0,145,10,0.10517739999999999,0,16384
146,90.0,146,10,0.1052413,0,16384
147,90.0,147,10,0.10530519999999999,0,16384
148,90.0,148,10,0.10537569999999999,0,16384
149,90.0,149,10,0.10544519999999999,0,16384
150,90.0,150,10,0.1055165,0,16384
151,90.0,151,10,0.10561519999999999,0,16384
152,90.0,152,10,0.1056883,0,16384
153,90.0,153,10,0.1057543,0,16384
154,90.0,154,10,0.10581979999999999,0,16384
155,90.0,155,10,0.10588499999999999,0,16384
156,90.0,156,10,0.1059502,0,16384
157,90.0,157,10,0.10601559999999999,0,16384
158,90.0,158,10,0.10608139999999999,0,16384
159,90.0,159,10,0.1061472,0,16384
160,90.0,160,10,0.1062129,0,16384
161,91.0,161,10,0.10627919999999999,0,16384
162,92.0,162,10,0.10636359999999999,0,16384
163,92.0,163,10,0.1064451,0,16384
164,92.0,164,10,0.1065126,0,16384
165,92.0,165,10,0.10657939999999999,0,16384
166,93.0,166,10,0.10664739999999999,0,16384
167,93.0,167,10,0.1067264,0,16384
168,93.0,168,10,0.1067943,0,16384
169,93.0,169,10,0.1068619,0,16384
170,93.0,170,10,0.10693209999999999,0,16384
171,93.0,171,10,0.1070013,0,16384
172,93.0,172,10,0.1070705,0,16384
173,94.0,173,10,0.1071438,0,16384
174,94.0,174,10,0.10723569999999999,0,16384
175,94.0,175,10,0.10731109999999999,0,16384
