,Fitness,Iteration,Mutation Rate,Population Size,Time,max_iters
0,13.0,0,0.3,300,0.007470699987607077,4096
1,15.0,1,0.3,300,0.07219189999159425,4096
2,17.0,2,0.3,300,0.1877117999974871,4096
3,17.0,3,0.3,300,0.28759349999018013,4096
4,18.0,4,0.3,300,0.37293459998909384,4096
5,18.0,5,0.3,300,0.4430469999933848,4096
6,18.0,6,0.3,300,0.5060013999900548,4096
7,18.0,7,0.3,300,0.5625648999994155,4096
8,19.0,8,0.3,300,0.627673999988474,4096
9,22.0,9,0.3,300,0.6960418999951798,4096
10,22.0,10,0.3,300,0.7548721999919508,4096
11,22.0,11,0.3,300,0.8201930999930482,4096
12,27.0,12,0.3,300,0.8866292999882717,4096
13,27.0,13,0.3,300,0.9489636999933282,4096
14,27.0,14,0.3,300,1.0314648999919882,4096
15,27.0,15,0.3,300,1.0889071999990847,4096
16,27.0,16,0.3,300,1.147984199997154,4096
17,28.0,17,0.3,300,1.2180950999900233,4096
18,28.0,18,0.3,300,1.2791217999911169,4096
19,32.0,19,0.3,300,1.3491763999918476,4096
20,33.0,20,0.3,300,1.4419014000013703,4096
21,34.0,21,0.3,300,1.5388897999946494,4096
22,34.0,22,0.3,300,1.6123424999968847,4096
23,34.0,23,0.3,300,1.6795031999936327,4096
24,34.0,24,0.3,300,1.7413628999929642,4096
25,35.0,25,0.3,300,1.8039676999906078,4096
26,35.0,26,0.3,300,1.870728900001268,4096
27,35.0,27,0.3,300,1.9449350999930175,4096
28,35.0,28,0.3,300,2.006798499991419,4096
29,37.0,29,0.3,300,2.072270999997272,4096
30,38.0,30,0.3,300,2.1339245999988634,4096
31,38.0,31,0.3,300,2.201433800000814,4096
32,38.0,32,0.3,300,2.2641537000017706,4096
33,38.0,33,0.3,300,2.337178599991603,4096
34,38.0,34,0.3,300,2.4056874999951106,4096
35,38.0,35,0.3,300,2.4660980999906315,4096
36,39.0,36,0.3,300,2.531996199992136,4096
37,39.0,37,0.3,300,2.6144606999878306,4096
38,39.0,38,0.3,300,2.7287667999917176,4096
39,39.0,39,0.3,300,2.828505599987693,4096
40,42.0,40,0.3,300,2.9339469999977155,4096
41,42.0,41,0.3,300,3.0058778999955393,4096
42,42.0,42,0.3,300,3.066717299996526,4096
43,42.0,43,0.3,300,3.128911899999366,4096
44,42.0,44,0.3,300,3.1925655999948503,4096
45,43.0,45,0.3,300,3.268996499988134,4096
46,45.0,46,0.3,300,3.3317465000000084,4096
47,45.0,47,0.3,300,3.395220499995048,4096
48,45.0,48,0.3,300,3.455867099997704,4096
49,46.0,49,0.3,300,3.515524699992966,4096
50,46.0,50,0.3,300,3.586453600000823,4096
51,46.0,51,0.3,300,3.648307299998123,4096
52,46.0,52,0.3,300,3.7103024999960326,4096
