,Fitness,Iteration,Mutation Rate,Population Size,Time,max_iters
0,12.0,0,0.3,300,0.010986199995386414,4096
1,12.0,1,0.3,300,0.06435760000022128,4096
2,12.0,2,0.3,300,0.12209059999440797,4096
3,12.0,3,0.3,300,0.1730764999956591,4096
4,12.0,4,0.3,300,0.20401220000348985,4096
5,14.0,5,0.3,300,0.25271439999050926,4096
6,14.0,6,0.3,300,0.3170176999992691,4096
7,19.0,7,0.3,300,0.40340589999686927,4096
8,19.0,8,0.3,300,0.48186030000215396,4096
9,19.0,9,0.3,300,0.5715854000009131,4096
10,19.0,10,0.3,300,0.6484881999931531,4096
11,19.0,11,0.3,300,0.7048379999905592,4096
12,21.0,12,0.3,300,0.747520999997505,4096
13,22.0,13,0.3,300,0.7950778999947943,4096
14,22.0,14,0.3,300,0.8305580000014743,4096
15,22.0,15,0.3,300,0.8656919999921229,4096
16,22.0,16,0.3,300,0.8997910000034608,4096
17,22.0,17,0.3,300,0.9431202999985544,4096
18,22.0,18,0.3,300,0.9883019999979297,4096
19,22.0,19,0.3,300,1.021847500000149,4096
20,22.0,20,0.3,300,1.0569935999956215,4096
21,25.0,21,0.3,300,1.1095048999995925,4096
22,31.0,22,0.3,300,1.1442149999929825,4096
23,31.0,23,0.3,300,1.1787339000002248,4096
24,31.0,24,0.3,300,1.2117661999945994,4096
25,31.0,25,0.3,300,1.2435002999991411,4096
26,31.0,26,0.3,300,1.274553499999456,4096
27,31.0,27,0.3,300,1.307697800002643,4096
28,31.0,28,0.3,300,1.3474301999958698,4096
29,31.0,29,0.3,300,1.381095999997342,4096
30,38.0,30,0.3,300,1.4166995999985375,4096
31,38.0,31,0.3,300,1.4539655999979004,4096
32,38.0,32,0.3,300,1.4877763999975286,4096
33,38.0,33,0.3,300,1.5356529999990016,4096
34,38.0,34,0.3,300,1.5849108999973396,4096
35,38.0,35,0.3,300,1.6324201999959769,4096
36,38.0,36,0.3,300,1.6805654999916442,4096
37,38.0,37,0.3,300,1.7622234000009485,4096
38,38.0,38,0.3,300,1.855916000000434,4096
39,38.0,39,0.3,300,1.9429650999954902,4096
40,39.0,40,0.3,300,2.0210843999957433,4096
41,39.0,41,0.3,300,2.0986873999936506,4096
42,39.0,42,0.3,300,2.1454598999989685,4096
43,41.0,43,0.3,300,2.1992440999893006,4096
44,41.0,44,0.3,300,2.248479599991697,4096
45,41.0,45,0.3,300,2.3015148999984376,4096
46,42.0,46,0.3,300,2.3560959000024013,4096
47,42.0,47,0.3,300,2.4189868999965256,4096
48,42.0,48,0.3,300,2.465417300001718,4096
49,42.0,49,0.3,300,2.5156869999918854,4096
50,42.0,50,0.3,300,2.5681551000016043,4096
51,42.0,51,0.3,300,2.6199660999991465,4096
52,42.0,52,0.3,300,2.6663503000017954,4096
53,42.0,53,0.3,300,2.7116308999975445,4096
54,42.0,54,0.3,300,2.7470106999971904,4096
55,44.0,55,0.3,300,2.779205600003479,4096
56,44.0,56,0.3,300,2.8161751000006916,4096
57,44.0,57,0.3,300,2.849510999993072,4096
58,44.0,58,0.3,300,2.884992399995099,4096
59,45.0,59,0.3,300,2.9177439999912167,4096
60,45.0,60,0.3,300,2.976306399999885,4096
61,45.0,61,0.3,300,3.031237899995176,4096
