,Fitness,Iteration,Mutation Rate,Population Size,State,Time,max_iters
0,2.0,0,0.3,300,"[0, 1, 0, 0, 0, 1, 0, 0]",0.005606400009128265,4096
1,14.0,1,0.3,300,"[1, 1, 1, 1, 1, 1, 0, 0]",0.03227609999885317,4096
2,14.0,2,0.3,300,"[1, 1, 1, 1, 1, 1, 0, 0]",0.06923140000435524,4096
3,14.0,4,0.3,300,"[1, 1, 1, 1, 1, 1, 0, 0]",0.11956420000933576,4096
4,14.0,8,0.3,300,"[1, 1, 1, 1, 1, 1, 0, 0]",0.225038400007179,4096
5,14.0,16,0.3,300,"[1, 1, 1, 1, 1, 1, 0, 0]",0.4331168000062462,4096
6,14.0,32,0.3,300,"[1, 1, 1, 1, 1, 1, 0, 0]",0.8693693000095664,4096
7,14.0,64,0.3,300,"[1, 1, 1, 1, 1, 1, 0, 0]",1.686019100001431,4096
8,14.0,128,0.3,300,"[1, 1, 1, 1, 1, 1, 0, 0]",3.2716144000005443,4096
9,14.0,256,0.3,300,"[1, 1, 1, 1, 1, 1, 0, 0]",6.256813600004534,4096
10,14.0,512,0.3,300,"[1, 1, 1, 1, 1, 1, 0, 0]",13.2549061000027,4096
11,14.0,1024,0.3,300,"[1, 1, 1, 1, 1, 1, 0, 0]",28.053546900002402,4096
12,14.0,2048,0.3,300,"[1, 1, 1, 1, 1, 1, 0, 0]",28.053546900002402,4096
13,14.0,4096,0.3,300,"[1, 1, 1, 1, 1, 1, 0, 0]",28.053546900002402,4096
