,Fitness,Iteration,Temperature,Time,max_iters
0,30.0,0,500,0.0005954999999993049,8192
1,32.0,1,500,0.0018785000000001162,8192
2,34.0,2,500,0.02616520000000122,8192
3,36.0,3,500,0.03770150000000072,8192
4,38.0,4,500,0.03828809999999905,8192
5,38.0,5,500,0.057604200000000105,8192
6,38.0,6,500,0.05863189999999818,8192
7,36.0,7,500,0.059019100000000435,8192
8,36.0,8,500,0.059385299999998864,8192
9,38.0,9,500,0.07458899999999957,8192
10,38.0,10,500,0.0749785999999979,8192
11,38.0,11,500,0.07533799999999857,8192
12,38.0,12,500,0.0758802999999979,8192
13,36.0,13,500,0.07645330000000072,8192
14,34.0,14,500,0.07778009999999824,8192
15,36.0,15,500,0.07817000000000007,8192
16,34.0,16,500,0.07867819999999881,8192
17,32.0,17,500,0.09088429999999903,8192
18,32.0,18,500,0.09156540000000035,8192
19,32.0,19,500,0.09227899999999778,8192
20,32.0,20,500,0.09391099999999852,8192
21,32.0,21,500,0.09519769999999994,8192
22,32.0,22,500,0.09607719999999986,8192
23,30.0,23,500,0.09694909999999979,8192
24,32.0,24,500,0.09781369999999967,8192
25,30.0,25,500,0.09863890000000097,8192
26,30.0,26,500,0.09932410000000047,8192
27,30.0,27,500,0.10002420000000001,8192
28,32.0,28,500,0.10081320000000105,8192
29,34.0,29,500,0.10160979999999853,8192
30,32.0,30,500,0.10253210000000124,8192
31,32.0,31,500,0.10329459999999813,8192
32,34.0,32,500,0.10528359999999992,8192
33,35.0,33,500,0.1208886999999983,8192
34,33.0,34,500,0.12127770000000027,8192
35,35.0,35,500,0.12168820000000125,8192
36,35.0,36,500,0.12205559999999949,8192
37,35.0,37,500,0.12250819999999862,8192
38,33.0,38,500,0.12310459999999779,8192
39,31.0,39,500,0.12359950000000097,8192
40,31.0,40,500,0.12396929999999884,8192
41,33.0,41,500,0.12438690000000108,8192
42,31.0,42,500,0.1249974999999992,8192
43,33.0,43,500,0.12557059999999964,8192
44,35.0,44,500,0.12593439999999845,8192
45,35.0,45,500,0.1262843999999994,8192
46,33.0,46,500,0.12786159999999924,8192
47,35.0,47,500,0.12899969999999783,8192
48,35.0,48,500,0.13012879999999782,8192
49,37.0,49,500,0.1312496000000003,8192
50,36.0,50,500,0.13236649999999983,8192
51,36.0,51,500,0.13348489999999913,8192
52,37.0,52,500,0.13460350000000076,8192
53,37.0,53,500,0.13543830000000057,8192
54,35.0,54,500,0.13583660000000108,8192
55,35.0,55,500,0.13623970000000085,8192
56,37.0,56,500,0.1368425000000002,8192
57,37.0,57,500,0.13742799999999988,8192
58,39.0,58,500,0.13801180000000102,8192
59,37.0,59,500,0.13878599999999963,8192
60,37.0,60,500,0.13992860000000107,8192
61,35.0,61,500,0.14097959999999787,8192
62,33.0,62,500,0.1418758000000011,8192
63,33.0,63,500,0.1424865000000004,8192
64,33.0,64,500,0.14307360000000102,8192
65,31.0,65,500,0.15614120000000042,8192
66,33.0,66,500,0.1572591999999986,8192
67,35.0,67,500,0.15835189999999955,8192
68,35.0,68,500,0.15925670000000025,8192
69,33.0,69,500,0.1607820000000011,8192
70,33.0,70,500,0.1621662999999991,8192
71,31.0,71,500,0.16327019999999948,8192
72,31.0,72,500,0.16391869999999997,8192
73,33.0,73,500,0.16475970000000117,8192
74,33.0,74,500,0.1655464000000002,8192
75,33.0,75,500,0.16622079999999784,8192
76,33.0,76,500,0.16686019999999857,8192
77,32.0,77,500,0.16780109999999837,8192
78,30.0,78,500,0.16889970000000076,8192
79,32.0,79,500,0.16978830000000045,8192
80,32.0,80,500,0.17053489999999982,8192
81,32.0,81,500,0.17135899999999893,8192
82,32.0,82,500,0.1719583,8192
83,30.0,83,500,0.17323790000000017,8192
84,30.0,84,500,0.17437089999999955,8192
85,28.0,85,500,0.17527979999999843,8192
86,30.0,86,500,0.17615689999999873,8192
87,32.0,87,500,0.17775040000000075,8192
88,32.0,88,500,0.1786247000000003,8192
89,34.0,89,500,0.17946170000000095,8192
90,34.0,90,500,0.18028599999999884,8192
91,34.0,91,500,0.18110319999999902,8192
92,36.0,92,500,0.1819242999999986,8192
93,34.0,93,500,0.18273699999999948,8192
94,34.0,94,500,0.18374250000000103,8192
95,36.0,95,500,0.18460239999999928,8192
96,36.0,96,500,0.18540570000000045,8192
97,38.0,97,500,0.18600079999999863,8192
98,40.0,98,500,0.18663120000000077,8192
99,40.0,99,500,0.1872347999999988,8192
100,40.0,100,500,0.18760899999999836,8192
101,38.0,101,500,0.18797879999999978,8192
102,38.0,102,500,0.18853169999999864,8192
103,38.0,103,500,0.189114,8192
104,40.0,104,500,0.18998510000000124,8192
105,38.0,105,500,0.1909169999999989,8192
106,36.0,106,500,0.19210490000000036,8192
107,36.0,107,500,0.1933866000000002,8192
108,34.0,108,500,0.1948559000000003,8192
109,32.0,109,500,0.1960544999999989,8192
110,34.0,110,500,0.19722819999999786,8192
111,32.0,111,500,0.19835829999999888,8192
112,34.0,112,500,0.1995003000000004,8192
113,34.0,113,500,0.20063090000000017,8192
114,34.0,114,500,0.20176520000000053,8192
115,34.0,115,500,0.20291119999999907,8192
116,32.0,116,500,0.20407259999999994,8192
117,34.0,117,500,0.20538729999999816,8192
118,36.0,118,500,0.20658889999999985,8192
119,36.0,119,500,0.2077631999999987,8192
120,38.0,120,500,0.2088965999999992,8192
121,38.0,121,500,0.21008029999999778,8192
122,37.0,122,500,0.21115759999999995,8192
123,37.0,123,500,0.21206169999999958,8192
124,37.0,124,500,0.21295169999999786,8192
125,35.0,125,500,0.21405439999999842,8192
126,35.0,126,500,0.21526460000000114,8192
127,37.0,127,500,0.2163959999999996,8192
128,37.0,128,500,0.21722429999999804,8192
129,35.0,129,500,0.23835550000000083,8192
130,35.0,130,500,0.23956499999999892,8192
131,34.0,131,500,0.24078369999999794,8192
132,34.0,132,500,0.2419829,8192
133,34.0,133,500,0.24352460000000065,8192
134,34.0,134,500,0.24464379999999863,8192
135,34.0,135,500,0.24655519999999953,8192
136,34.0,136,500,0.24779660000000092,8192
137,34.0,137,500,0.24886490000000094,8192
138,34.0,138,500,0.24984749999999778,8192
139,36.0,139,500,0.25093920000000125,8192
140,36.0,140,500,0.25192969999999804,8192
141,36.0,141,500,0.2529137000000006,8192
142,34.0,142,500,0.25384090000000015,8192
143,36.0,143,500,0.2549008999999991,8192
144,38.0,144,500,0.2556681999999988,8192
145,36.0,145,500,0.2564323999999978,8192
146,37.0,146,500,0.2572024999999982,8192
147,37.0,147,500,0.25794169999999994,8192
148,37.0,148,500,0.2587222000000011,8192
149,39.0,149,500,0.25949259999999796,8192
150,39.0,150,500,0.2612224000000012,8192
151,39.0,151,500,0.26227489999999776,8192
152,39.0,152,500,0.26322370000000106,8192
