,Fitness,Iteration,Restarts,Time,current_restart,max_iters
129,82.0,129,10,0.19338450000000001,0,16384
130,82.0,130,10,0.19367310000000001,0,16384
131,82.0,131,10,0.1940772,0,16384
132,82.0,132,10,0.1943465,0,16384
133,82.0,133,10,0.1946016,0,16384
134,82.0,134,10,0.1948868,0,16384
135,82.0,135,10,0.1951575,0,16384
136,82.0,136,10,0.1954242,0,16384
137,82.0,137,10,0.1956822,0,16384
138,82.0,138,10,0.19604,0,16384
139,82.0,139,10,0.1964589,0,16384
140,82.0,140,10,0.1971977,0,16384
141,82.0,141,10,0.19749830000000002,0,16384
142,82.0,142,10,0.197832,0,16384
143,82.0,143,10,0.1983146,0,16384
144,82.0,144,10,0.1989653,0,16384
145,82.0,145,10,0.1994282,0,16384
146,82.0,146,10,0.1998377,0,16384
147,82.0,147,10,0.2000935,0,16384
148,82.0,148,10,0.2003458,0,16384
149,82.0,149,10,0.2005991,0,16384
150,82.0,150,10,0.2010008,0,16384
151,82.0,151,10,0.2015266,0,16384
152,82.0,152,10,0.2021427,0,16384
153,82.0,153,10,0.2028208,0,16384
154,82.0,154,10,0.2033226,0,16384
155,82.0,155,10,0.2038547,0,16384
156,82.0,156,10,0.2045609,0,16384
157,82.0,157,10,0.2052334,0,16384
158,82.0,158,10,0.205586,0,16384
159,82.0,159,10,0.2059763,0,16384
160,82.0,160,10,0.2063558,0,16384
161,82.0,161,10,0.2066252,0,16384
162,82.0,162,10,0.20690050000000001,0,16384
163,82.0,163,10,0.2071788,0,16384
164,82.0,164,10,0.2074389,0,16384
165,82.0,165,10,0.2079393,0,16384
166,82.0,166,10,0.2082137,0,16384
167,82.0,167,10,0.2084691,0,16384
168,82.0,168,10,0.2087247,0,16384
169,82.0,169,10,0.2090644,0,16384
170,82.0,170,10,0.2093296,0,16384
171,82.0,171,10,0.2095893,0,16384
172,82.0,172,10,0.2100482,0,16384
173,82.0,173,10,0.2103146,0,16384
174,82.0,174,10,0.2105718,0,16384
175,82.0,175,10,0.2108571,0,16384
176,82.0,176,10,0.21112,0,16384
177,82.0,177,10,0.2113754,0,16384
178,82.0,178,10,0.2116256,0,16384
179,82.0,179,10,0.212008,0,16384
180,82.0,180,10,0.2124388,0,16384
181,82.0,181,10,0.21285,0,16384
182,82.0,182,10,0.2131129,0,16384
183,82.0,183,10,0.213957,0,16384
184,82.0,184,10,0.2142447,0,16384
185,82.0,185,10,0.2145078,0,16384
186,82.0,186,10,0.2147872,0,16384
187,82.0,187,10,0.2152127,0,16384
188,82.0,188,10,0.2156361,0,16384
189,82.0,189,10,0.2161273,0,16384
190,82.0,190,10,0.2165628,0,16384
191,82.0,191,10,0.21703340000000002,0,16384
192,82.0,192,10,0.217317,0,16384
193,82.0,193,10,0.2175729,0,16384
194,82.0,194,10,0.2178508,0,16384
195,82.0,195,10,0.218116,0,16384
196,82.0,196,10,0.2183735,0,16384
197,82.0,197,10,0.2186296,0,16384
198,82.0,198,10,0.2190193,0,16384
199,82.0,199,10,0.2194534,0,16384
200,82.0,200,10,0.2199287,0,16384
201,82.0,201,10,0.2202026,0,16384
202,82.0,202,10,0.22046570000000001,0,16384
203,82.0,203,10,0.2207241,0,16384
204,82.0,204,10,0.2210546,0,16384
205,82.0,205,10,0.221397,0,16384
206,82.0,206,10,0.2217996,0,16384
207,82.0,207,10,0.2220633,0,16384
208,82.0,208,10,0.2223225,0,16384
209,82.0,209,10,0.2225782,0,16384
210,82.0,210,10,0.2229474,0,16384
211,82.0,211,10,0.2232246,0,16384
212,82.0,212,10,0.2234868,0,16384
213,82.0,213,10,0.22374460000000002,0,16384
214,82.0,214,10,0.2240818,0,16384
215,82.0,215,10,0.22434880000000001,0,16384
216,82.0,216,10,0.2246083,0,16384
217,82.0,217,10,0.2250338,0,16384
218,82.0,218,10,0.2255741,0,16384
219,82.0,219,10,0.2259381,0,16384
220,82.0,220,10,0.2262038,0,16384
221,82.0,221,10,0.2264652,0,16384
222,82.0,222,10,0.226723,0,16384
223,82.0,223,10,0.2271089,0,16384
224,82.0,224,10,0.2273841,0,16384
225,82.0,225,10,0.2276411,0,16384
226,82.0,226,10,0.2281596,0,16384
227,82.0,227,10,0.22846550000000002,0,16384
228,82.0,228,10,0.22874440000000001,0,16384
229,82.0,229,10,0.22914500000000002,0,16384
230,82.0,230,10,0.2294137,0,16384
231,82.0,231,10,0.2296764,0,16384
232,82.0,232,10,0.2302553,0,16384
233,82.0,233,10,0.2306694,0,16384
234,82.0,234,10,0.2311038,0,16384
235,82.0,235,10,0.2315417,0,16384
236,82.0,236,10,0.2320755,0,16384
237,82.0,237,10,0.2325895,0,16384
238,82.0,238,10,0.2331161,0,16384
239,82.0,239,10,0.2336476,0,16384
240,82.0,240,10,0.23419890000000002,0,16384
241,82.0,241,10,0.2347217,0,16384
242,82.0,242,10,0.2353392,0,16384
243,82.0,243,10,0.23644790000000002,0,16384
244,82.0,244,10,0.2380131,0,16384
245,82.0,245,10,0.23866210000000002,0,16384
246,82.0,246,10,0.2396334,0,16384
247,82.0,247,10,0.24020840000000002,0,16384
248,82.0,248,10,0.2406687,0,16384
249,82.0,249,10,0.241125,0,16384
250,82.0,250,10,0.2415665,0,16384
251,82.0,251,10,0.2420446,0,16384
252,82.0,252,10,0.2424868,0,16384
253,82.0,253,10,0.2429514,0,16384
254,82.0,254,10,0.24339460000000002,0,16384
255,82.0,255,10,0.2439262,0,16384
256,82.0,256,10,0.2446186,0,16384
257,82.0,257,10,0.2631238,0,16384
258,82.0,258,10,0.2641247,0,16384
259,82.0,259,10,0.2651624,0,16384
260,82.0,260,10,0.2660824,0,16384
261,82.0,261,10,0.2666487,0,16384
262,82.0,262,10,0.267228,0,16384
263,82.0,263,10,0.2677594,0,16384
264,82.0,264,10,0.2682635,0,16384
265,82.0,265,10,0.2688413,0,16384
266,82.0,266,10,0.2691558,0,16384
267,82.0,267,10,0.2694289,0,16384
268,82.0,268,10,0.2697735,0,16384
269,82.0,269,10,0.2700537,0,16384
270,82.0,270,10,0.27035560000000003,0,16384
271,82.0,271,10,0.2707338,0,16384
272,82.0,272,10,0.2712218,0,16384
273,82.0,273,10,0.2717172,0,16384
274,82.0,274,10,0.2722181,0,16384
275,82.0,275,10,0.27264900000000003,0,16384
276,82.0,276,10,0.2729203,0,16384
277,82.0,277,10,0.2731839,0,16384
278,82.0,278,10,0.273446,0,16384
279,82.0,279,10,0.2738315,0,16384
280,82.0,280,10,0.2742789,0,16384
281,82.0,281,10,0.2747958,0,16384
282,82.0,282,10,0.2754908,0,16384
283,82.0,283,10,0.2760746,0,16384
284,82.0,284,10,0.276624,0,16384
285,82.0,285,10,0.2771562,0,16384
286,82.0,286,10,0.27769130000000003,0,16384
287,82.0,287,10,0.2782248,0,16384
288,82.0,288,10,0.2787692,0,16384
289,82.0,289,10,0.2792857,0,16384
290,82.0,290,10,0.27991710000000003,0,16384
291,82.0,291,10,0.2813459,0,16384
292,84.0,292,10,0.2816995,0,16384
293,84.0,293,10,0.2821978,0,16384
294,84.0,294,10,0.2824661,0,16384
295,84.0,295,10,0.2830194,0,16384
296,84.0,296,10,0.2836745,0,16384
297,84.0,297,10,0.2842107,0,16384
298,84.0,298,10,0.2848345,0,16384
299,84.0,299,10,0.2853626,0,16384
300,84.0,300,10,0.2859026,0,16384
301,84.0,301,10,0.2864344,0,16384
302,84.0,302,10,0.2869727,0,16384
303,84.0,303,10,0.2874985,0,16384
304,84.0,304,10,0.2880142,0,16384
305,84.0,305,10,0.2885316,0,16384
306,84.0,306,10,0.2890467,0,16384
307,84.0,307,10,0.2895562,0,16384
308,84.0,308,10,0.2900808,0,16384
309,84.0,309,10,0.2906253,0,16384
310,84.0,310,10,0.2909561,0,16384
311,84.0,311,10,0.2912358,0,16384
312,84.0,312,10,0.2915187,0,16384
313,84.0,313,10,0.2920429,0,16384
314,84.0,314,10,0.2926128,0,16384
315,84.0,315,10,0.2929247,0,16384
316,84.0,316,10,0.2932057,0,16384
317,84.0,317,10,0.2934725,0,16384
318,84.0,318,10,0.2941929,0,16384
319,84.0,319,10,0.2950518,0,16384
320,84.0,320,10,0.2958537,0,16384
321,84.0,321,10,0.2964019,0,16384
322,84.0,322,10,0.29813080000000003,0,16384
323,84.0,323,10,0.2991615,0,16384
324,84.0,324,10,0.2994657,0,16384
325,84.0,325,10,0.2998155,0,16384
326,84.0,326,10,0.3000906,0,16384
327,84.0,327,10,0.3003615,0,16384
328,84.0,328,10,0.3007812,0,16384
329,84.0,329,10,0.3013181,0,16384
330,84.0,330,10,0.3018446,0,16384
331,84.0,331,10,0.3023624,0,16384
332,84.0,332,10,0.3028991,0,16384
333,84.0,333,10,0.3034333,0,16384
334,84.0,334,10,0.3039719,0,16384
335,84.0,335,10,0.3045149,0,16384
336,84.0,336,10,0.3049905,0,16384
337,84.0,337,10,0.3052821,0,16384
338,84.0,338,10,0.305586,0,16384
339,84.0,339,10,0.3058681,0,16384
340,84.0,340,10,0.3061384,0,16384
341,84.0,341,10,0.3064056,0,16384
342,84.0,342,10,0.3067248,0,16384
343,84.0,343,10,0.3070014,0,16384
344,84.0,344,10,0.3072699,0,16384
345,84.0,345,10,0.3075599,0,16384
346,84.0,346,10,0.3078527,0,16384
347,84.0,347,10,0.308124,0,16384
348,84.0,348,10,0.3083967,0,16384
349,84.0,349,10,0.3089621,0,16384
350,84.0,350,10,0.3098024,0,16384
351,84.0,351,10,0.3105015,0,16384
352,84.0,352,10,0.3110178,0,16384
353,84.0,353,10,0.3114781,0,16384
354,84.0,354,10,0.3121575,0,16384
355,84.0,355,10,0.3131151,0,16384
356,84.0,356,10,0.3138858,0,16384
357,84.0,357,10,0.314197,0,16384
358,84.0,358,10,0.314478,0,16384
359,84.0,359,10,0.3153912,0,16384
360,84.0,360,10,0.3163032,0,16384
361,84.0,361,10,0.3171934,0,16384
362,84.0,362,10,0.3179992,0,16384
363,84.0,363,10,0.3186529,0,16384
364,84.0,364,10,0.319198,0,16384
365,84.0,365,10,0.3197314,0,16384
366,84.0,366,10,0.3202523,0,16384
367,84.0,367,10,0.3208087,0,16384
368,84.0,368,10,0.32134820000000003,0,16384
369,84.0,369,10,0.3219068,0,16384
370,84.0,370,10,0.3224514,0,16384
371,84.0,371,10,0.3229785,0,16384
372,84.0,372,10,0.3237602,0,16384
373,84.0,373,10,0.3247169,0,16384
374,84.0,374,10,0.3252784,0,16384
375,84.0,375,10,0.3258915,0,16384
376,84.0,376,10,0.3264143,0,16384
377,84.0,377,10,0.3272748,0,16384
378,84.0,378,10,0.3278208,0,16384
379,84.0,379,10,0.328355,0,16384
380,84.0,380,10,0.329131,0,16384
381,84.0,381,10,0.3297122,0,16384
382,84.0,382,10,0.3318987,0,16384
383,84.0,383,10,0.3325289,0,16384
384,84.0,384,10,0.33307,0,16384
385,84.0,385,10,0.3335912,0,16384
386,84.0,386,10,0.3341299,0,16384
387,84.0,387,10,0.3348847,0,16384
388,84.0,388,10,0.33583230000000003,0,16384
389,84.0,389,10,0.3367727,0,16384
390,84.0,390,10,0.3378401,0,16384
391,84.0,391,10,0.3383896,0,16384
392,84.0,392,10,0.33945770000000003,0,16384
393,84.0,393,10,0.3403329,0,16384
394,84.0,394,10,0.3412825,0,16384
395,84.0,395,10,0.3422159,0,16384
396,84.0,396,10,0.3428819,0,16384
397,84.0,397,10,0.3434449,0,16384
398,84.0,398,10,0.343987,0,16384
399,84.0,399,10,0.3463187,0,16384
400,84.0,400,10,0.34801,0,16384
401,84.0,401,10,0.3498371,0,16384
402,84.0,402,10,0.3507911,0,16384
403,84.0,403,10,0.3516508,0,16384
404,84.0,404,10,0.3528063,0,16384
405,84.0,405,10,0.3537361,0,16384
406,84.0,406,10,0.354614,0,16384
407,84.0,407,10,0.3555019,0,16384
408,84.0,408,10,0.3563701,0,16384
409,84.0,409,10,0.3569505,0,16384
410,84.0,410,10,0.3574515,0,16384
411,84.0,411,10,0.3579799,0,16384
412,84.0,412,10,0.3585281,0,16384
413,84.0,413,10,0.3590649,0,16384
414,84.0,414,10,0.3603444,0,16384
415,84.0,415,10,0.361481,0,16384
416,84.0,416,10,0.3620339,0,16384
417,84.0,417,10,0.3625734,0,16384
418,84.0,418,10,0.3630739,0,16384
419,84.0,419,10,0.3645715,0,16384
420,84.0,420,10,0.3651343,0,16384
421,84.0,421,10,0.36566540000000003,0,16384
422,84.0,422,10,0.3661709,0,16384
423,84.0,423,10,0.3666884,0,16384
424,84.0,424,10,0.3671708,0,16384
425,84.0,425,10,0.367671,0,16384
426,84.0,426,10,0.3681706,0,16384
427,84.0,427,10,0.3686939,0,16384
428,84.0,428,10,0.3691698,0,16384
429,84.0,429,10,0.3696625,0,16384
430,84.0,430,10,0.3701499,0,16384
431,84.0,431,10,0.3706308,0,16384
432,84.0,432,10,0.3710965,0,16384
433,84.0,433,10,0.3715962,0,16384
434,84.0,434,10,0.3721215,0,16384
435,84.0,435,10,0.3726059,0,16384
436,84.0,436,10,0.3730575,0,16384
437,84.0,437,10,0.3735702,0,16384
